dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
1.129944,10,8,534,354,15.044994,254,252,3405.478516,2194.799072,2,1,122.617,150.692859,6633.795682,259.958828,255,1369330500,1187426251,255,0.248763,0.075085,0.173678,53,44,0,0,4,1,1,1,1,2,0,0,0,1,2,0,Normal,0
1.964566,10,8,2516,354,8.653311,254,252,9223.411133,1262.365356,2,1,218.174222,270.640719,13125.09697,469.482,255,1591881928,2482385855,255,0.159326,0.07008,0.089246,252,44,0,0,8,1,1,1,1,1,0,0,0,1,1,0,Normal,0
2.349783,12,10,888,1370,8.936996,62,252,2771.319824,4197.834473,2,2,213.616639,241.403,12385.515,352.723313,255,1786836554,2627151766,255,0.335828,0.176119,0.159709,74,137,1,239,2,1,1,1,1,1,0,0,1,1,1,0,Normal,0
7e-06,2,0,104,0,142857.1409,254,0,59428572.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,1,1,1,2,0,0,0,1,2,0,Normal,0
0.005896,22,24,2054,2478,7632.292832,31,29,2660787.0,3222523.75,6,6,0.264238,0.227435,16.088439,13.678699,255,1180375907,3326103183,255,0.00081,0.000654,0.000156,93,103,0,0,10,0,3,1,1,1,0,0,0,1,9,0,Normal,0
0.034952,44,46,2750,27602,2546.349295,31,29,615243.75,6180361.5,7,16,0.804651,0.7642,0.0,56.551261,255,1520116647,1527636094,255,0.000712,0.000559,0.000153,63,600,0,0,8,0,6,1,1,1,0,0,0,2,19,0,Normal,0
0.007721,30,26,3624,5578,7123.429713,31,29,3630617.75,5557829.5,7,7,0.266241,0.27776,14.862088,16.738467,255,2247767457,98510618,255,0.000772,0.000632,0.00014,121,215,0,0,8,0,3,1,1,1,0,0,0,1,8,0,Normal,0
0.03338,122,126,7814,15690,7399.640108,31,29,1857399.5,3730617.0,30,32,0.273025,0.262504,17.525963,15.034982,255,1400901975,1401953780,255,0.000737,0.000562,0.000175,64,125,0,0,8,0,2,1,1,1,0,0,0,2,13,0,Normal,0
0.001099,2,2,146,178,2729.754356,31,29,531392.1875,647861.6875,0,0,0.01,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,15,0,2,2,1,1,0,0,0,4,7,0,Normal,0
0.004408,4,4,568,304,1588.021765,31,29,773139.75,413793.0938,0,0,1.202667,0.980333,1.69093,1.377917,0,0,0,0,0.0,0.0,0.0,142,76,0,0,4,0,3,1,1,2,0,0,0,2,9,0,Normal,0
7.200272,232,438,13350,548216,92.913156,31,29,14769.44141,607715.9375,21,197,31.168528,16.475381,12609.71729,9178.188464,255,622307277,679635267,255,0.000647,0.00052,0.000127,58,1252,0,0,7,0,3,2,1,2,0,0,0,2,14,0,Normal,0
0.001114,2,2,146,178,2692.998243,31,29,524237.0,639138.25,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,12,0,4,2,1,2,0,0,0,5,5,0,Normal,0
0.007465,14,6,8928,320,2545.211053,31,29,8885198.0,286135.3125,4,1,0.574231,1.3678,30.1266,2.566771,255,158194133,169293495,255,0.000617,0.000483,0.000134,638,53,0,0,10,0,5,1,1,4,0,0,0,7,12,0,Normal,0
0.021426,52,40,37274,3276,4247.176387,31,29,13649958.0,1192943.125,18,8,0.413255,0.53518,22.82292,1.160264,255,860901887,3007411367,255,0.000702,0.00055,0.000152,717,82,0,0,18,0,2,1,1,1,0,0,0,4,10,0,Normal,0
0.004966,18,18,4488,2456,7047.925761,31,29,6828836.0,3737414.25,7,7,0.273118,0.260824,13.49666,0.348445,255,3789706245,3788612836,255,0.000671,0.000525,0.000146,249,136,0,0,7,0,4,1,1,3,0,0,0,4,8,0,Normal,0
1.101911,122,126,7820,15676,224.156045,31,29,56309.44922,112909.3047,30,32,9.103628,8.810832,568.452399,561.688895,255,3096485765,3116076465,255,0.00071,0.000553,0.000157,64,124,0,0,10,0,1,1,1,1,0,0,0,1,11,0,Normal,0
1e-05,2,0,264,0,100000.0025,60,0,105600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,132,0,0,0,7,0,3,3,3,3,0,0,0,3,7,0,Normal,0
0.001094,2,2,146,178,2742.230477,31,29,533820.875,650822.6875,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,11,0,2,1,1,1,0,0,0,1,7,0,Normal,0
1.004652,12,18,1580,10168,28.865716,31,29,11538.32324,76476.23438,3,5,91.297821,59.063119,9528.554325,7674.382754,255,1000379432,1001445656,255,0.00073,0.000575,0.000155,132,565,0,0,14,0,3,1,1,1,0,0,0,4,9,0,Normal,0
0.030644,52,42,37264,3380,3034.851889,31,29,9541313.0,861506.3125,18,8,0.594078,0.734463,34.2601,1.552289,255,458189869,459261841,255,0.000682,0.000524,0.000158,717,80,0,0,5,0,5,1,1,1,0,0,0,2,9,0,Normal,0
0.58916,22,24,2054,2478,76.379927,31,29,26627.74023,32249.30273,6,6,28.038763,25.590305,1787.996671,1711.118254,255,3305500870,3305799864,255,0.000715,0.000573,0.000142,93,103,0,0,15,0,2,1,1,2,0,0,0,4,6,0,Normal,0
1.227954,12,18,1580,10168,23.616519,31,29,9440.092773,62569.11719,3,5,111.599092,72.199469,10494.08749,8449.356366,255,3336491153,3341772142,255,0.000679,0.000559,0.00012,132,565,0,0,15,0,1,1,1,1,0,0,0,1,8,0,Normal,0
0.00111,2,2,146,178,2702.702815,31,29,526126.125,641441.4375,0,0,0.011,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,1,1,1,1,0,0,0,1,1,0,Normal,0
0.025986,44,46,2750,27602,3424.920993,31,29,827522.5,8312783.5,7,16,0.611119,0.564644,34.135684,34.20484,255,827339087,836612204,255,0.000713,0.000574,0.000139,63,600,0,0,10,0,2,1,1,2,0,0,0,4,13,0,Normal,0
0.016134,40,42,2542,21006,5020.453871,31,29,1229205.5,10167845.0,7,14,0.404026,0.376585,31.224762,29.252943,255,1480374769,3630312792,255,0.000847,0.000684,0.000163,64,500,0,0,4,0,2,1,1,2,0,0,0,3,7,0,Normal,0
0.001022,2,2,146,178,2935.420795,31,29,571428.5625,696673.1875,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,9,0,3,1,1,1,0,0,0,4,9,0,Normal,0
0.444211,28,30,4400,3080,128.317397,31,29,76414.13281,53632.16797,7,7,16.44026,15.299759,890.586229,22.363424,255,4031067484,1888791113,255,0.000609,0.000514,9.5e-05,157,103,0,0,7,0,2,1,1,1,0,0,0,3,9,0,Normal,0
0.011139,40,42,2542,21006,7271.748021,31,29,1780411.25,14727355.0,7,14,0.277051,0.257341,16.09827,15.00122,255,1400114023,3545788554,255,0.000731,0.000587,0.000144,64,500,0,0,3,0,4,1,1,1,0,0,0,3,11,0,Normal,0
1.1e-05,2,0,264,0,90909.0902,60,0,96000000.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,132,0,0,0,8,0,3,3,3,3,0,0,0,3,8,0,Normal,0
0.014136,44,46,2750,27602,6295.982066,31,29,1521222.5,15281268.0,7,16,0.32107,0.3022,0.0,17.309264,255,3336919468,1194694810,255,0.000664,0.000533,0.000131,63,600,0,0,9,0,2,1,1,1,0,0,0,4,7,0,Normal,0
0.001079,2,2,146,178,2780.352305,31,29,541241.9375,659870.25,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,25,0,5,2,1,2,0,0,0,9,9,0,Normal,0
0.015325,40,44,2542,21110,5415.987098,31,29,1294094.625,10769853.0,7,14,0.383436,0.3525,22.824657,22.892878,255,3869955581,1720658538,255,0.00066,0.000512,0.000148,64,480,0,0,7,0,2,1,1,1,0,0,0,2,13,0,Normal,0
0.011955,40,42,2542,21006,6775.407518,31,29,1658887.375,13722124.0,7,14,0.298282,0.27761,17.273358,16.71005,255,1460113389,3609989755,255,0.000696,0.000563,0.000133,64,500,0,0,5,0,4,1,1,1,0,0,0,2,11,0,Normal,0
0.038188,84,86,4862,80646,4425.474055,31,29,1006598.938,16698230.0,7,36,0.456169,0.443471,0.0,23.2587,255,3636483943,1501967290,255,0.000659,0.000489,0.00017,58,938,0,0,16,0,3,1,1,1,0,0,0,2,9,0,Normal,0
0.043915,48,50,2974,33882,2208.812488,31,29,530661.5,6048958.0,7,18,0.927617,0.886327,64.062047,62.090153,255,1220907355,1227807405,255,0.000604,0.000478,0.000126,62,678,0,0,18,0,1,1,1,1,0,0,0,4,6,0,Normal,0
1.1e-05,2,0,264,0,90909.0902,60,0,96000000.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,132,0,0,0,8,0,3,3,3,3,0,0,0,3,8,0,Normal,0
0.011547,40,42,2542,21006,7014.808952,31,29,1717502.375,14206980.0,7,14,0.288487,0.266415,16.753129,14.955598,255,398186996,398524933,255,0.000739,0.000614,0.000125,64,500,0,0,7,0,2,1,1,1,0,0,0,4,6,0,Normal,0
